1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
0/0,3/0,4/1,15/1,21/1,31/1,40/1,47/1,52/1,62/1,68/2,79/2,91/2,97/2,105/3,111/4,116/5,127/6,132/6,138/7,3/0,13/0,20/0,29/0,33/0,42/0,53/0,60/0,65/0,69/0,76/0,78/1,86/1,96/1,100/3,105/5,106/6,110/7,120/7,124/8,defend,2024
0/0,6/0,11/0,11/1,19/1,19/1,22/1,24/1,25/1,29/1,33/1,40/3,44/3,45/4,46/5,51/6,52/6,56/6,63/6,67/7,0/0,7/0,12/0,22/0,23/0,36/0,41/0,46/0,53/0,62/0,68/0,68/0,68/0,68/0,68/0,68/0,68/0,68/0,68/0,68/0,chased,2024
0/0,2/0,7/0,10/1,15/1,18/1,22/1,28/1,37/1,45/1,46/2,50/2,65/2,73/2,78/2,80/3,95/3,99/4,105/4,115/6,1/0,3/1,11/2,15/2,20/2,25/2,32/2,34/2,37/3,42/3,47/3,51/3,59/3,68/3,72/5,80/5,86/5,98/6,105/6,116/6,chased,2024
0/0,3/0,5/2,8/2,8/2,10/3,11/3,16/3,18/3,22/4,23/4,33/4,33/6,37/7,38/8,39/9,40/10,40/10,40/10,40/10,0/0,5/0,7/1,9/1,11/2,23/2,26/2,32/2,34/2,37/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,chased,2024
0/0,1/0,6/1,8/2,11/2,23/2,27/3,35/3,40/3,43/3,50/3,51/3,56/4,61/4,65/4,71/5,77/5,84/5,89/5,93/7,8/1,14/1,20/2,22/2,34/2,35/3,42/3,52/3,57/3,62/3,68/3,78/3,81/4,89/4,94/4,94/4,94/4,94/4,94/4,94/4,chased,2024
0/0,1/1,6/2,12/2,13/2,14/3,22/3,29/3,29/5,30/5,31/6,34/7,35/8,35/8,35/9,37/10,37/10,37/10,37/10,37/10,9/0,22/1,24/1,29/2,31/2,35/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,41/2,chased,2024
0/0,3/0,5/1,7/1,10/1,14/1,19/3,32/3,35/3,37/4,45/5,46/5,51/5,53/6,57/9,61/9,61/10,61/10,61/10,61/10,7/1,8/1,19/1,25/1,40/1,44/1,54/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,62/1,chased,2024
0/0,9/0,10/0,16/0,16/1,17/1,17/2,19/3,21/3,22/3,26/4,33/4,43/4,43/6,50/6,50/7,50/7,50/8,52/8,55/9,10/0,31/0,44/0,52/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,chased,2024
0/0,1/0,5/1,10/1,16/2,22/2,27/2,35/2,43/3,46/3,55/3,57/4,60/4,67/4,70/4,80/5,86/6,90/7,95/8,98/10,9/0,13/0,20/0,28/0,34/0,42/0,49/0,57/0,64/0,77/0,78/2,91/2,104/2,104/2,104/2,104/2,104/2,104/2,104/2,104/2,chased,2024
0/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2023
0/0,1/1,2/1,3/1,11/1,19/1,21/2,25/2,35/2,43/2,48/2,55/2,58/2,62/2,69/3,75/3,82/3,92/3,101/3,109/4,0/0,7/0,8/1,10/1,15/1,19/2,22/3,34/3,36/3,46/3,48/4,54/4,66/4,68/5,82/5,95/5,100/5,113/5,113/5,113/5,chased,2023
0/0,3/0,3/0,4/0,5/1,7/1,15/1,21/1,28/1,31/1,34/1,36/3,45/3,54/3,59/3,67/4,75/4,78/4,83/5,93/5,3/0,8/0,9/1,14/1,26/1,27/1,28/2,33/2,43/2,46/3,50/4,51/4,52/4,57/4,61/4,66/4,72/4,75/4,81/4,90/4,defend,2023
0/0,2/0,5/0,8/1,10/1,13/1,14/1,19/1,23/3,28/3,29/4,33/6,34/6,39/7,40/7,43/7,43/8,46/8,47/8,51/8,3/0,12/0,14/0,28/0,41/0,44/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,52/0,chased,2023
0/0,3/0,5/1,10/2,15/2,19/2,25/3,27/4,29/5,33/6,36/7,36/7,38/8,38/8,42/9,45/9,48/9,51/9,52/10,52/10,8/0,19/0,26/0,40/1,46/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,54/1,chased,2023
0/0,7/0,14/0,16/0,28/1,34/1,46/1,51/1,53/2,57/2,59/3,65/3,70/3,74/3,76/3,80/4,92/4,102/4,107/4,114/5,1/1,10/1,19/1,21/2,30/2,41/2,45/2,52/2,57/2,61/2,71/2,78/2,91/2,96/3,105/3,108/3,118/3,118/3,118/3,118/3,chased,2023
0/0,4/0,9/0,12/0,15/1,17/1,22/1,26/1,29/2,32/2,37/2,39/2,46/2,48/3,53/3,57/3,61/4,66/4,68/5,73/7,0/0,0/0,3/0,12/0,19/0,24/0,29/0,35/0,38/1,42/1,48/1,54/1,61/1,65/3,67/4,70/4,74/5,74/5,74/5,74/5,chased,2023
0/0,4/0,8/0,13/1,22/1,24/1,30/1,38/1,42/1,51/1,53/1,56/1,59/1,62/1,70/2,77/2,90/2,98/2,113/2,121/4,5/0,7/0,12/1,13/2,17/2,22/3,24/3,27/3,32/3,33/4,36/4,43/4,47/4,48/4,54/4,60/4,65/6,72/6,76/6,78/9,defend,2023
0/0,0/0,2/0,6/0,13/0,16/0,16/0,21/0,23/0,24/0,28/1,35/1,37/3,37/4,40/4,43/4,51/4,53/4,62/4,68/6,5/0,12/1,15/3,20/3,26/3,30/3,42/3,50/3,59/3,72/3,72/3,72/3,72/3,72/3,72/3,72/3,72/3,72/3,72/3,72/3,chased,2023
0/0,2/0,5/0,12/1,12/2,18/2,18/2,28/2,34/2,35/3,40/3,44/3,46/4,51/5,64/5,69/5,75/6,75/8,79/9,83/9,17/0,29/1,42/1,49/1,56/2,65/2,77/2,83/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,84/2,chased,2023
0/0,2/0,13/0,13/1,25/1,29/1,39/1,45/1,51/1,54/2,58/3,60/3,63/3,73/3,83/4,84/5,89/5,97/5,101/6,106/7,6/0,19/0,40/1,43/1,49/1,62/1,67/1,69/1,76/2,88/2,94/3,98/3,109/3,109/3,109/3,109/3,109/3,109/3,109/3,109/3,chased,2023
0/0,1/0,8/0,19/1,23/2,32/2,36/2,43/2,53/2,60/2,67/2,69/3,74/4,86/4,94/5,99/5,102/6,107/6,112/7,122/7,12/0,19/0,28/0,33/2,34/3,34/3,38/4,39/5,41/5,44/7,45/8,46/8,52/8,59/8,62/9,63/10,63/10,63/10,63/10,63/10,defend,2023
0/0,7/0,11/1,12/1,13/1,18/1,22/1,30/2,33/3,34/3,42/4,44/4,46/4,49/5,56/6,60/6,62/6,67/6,70/7,75/9,7/0,9/0,16/0,17/1,24/1,33/2,34/2,36/3,40/3,43/3,46/3,48/3,57/3,60/3,65/3,70/4,77/4,77/4,77/4,77/4,chased,2023
0/0,5/0,10/0,12/0,17/0,19/1,26/1,28/1,34/1,35/1,37/2,41/2,49/2,56/2,59/2,68/2,78/2,87/3,98/3,113/4,0/1,1/1,2/1,5/1,6/2,8/3,10/4,16/5,18/6,19/6,20/7,25/7,26/9,27/9,29/9,30/9,35/9,36/9,39/9,46/10,defend,2023
0/0,7/1,12/1,15/1,26/1,30/1,35/1,49/1,51/3,60/3,62/3,66/4,72/4,78/4,82/5,92/5,96/7,99/10,99/10,99/10,2/0,12/0,25/0,41/0,52/0,61/1,65/1,76/1,88/1,92/1,96/2,102/2,102/2,102/2,102/2,102/2,102/2,102/2,102/2,102/2,chased,2022
0/0,6/1,10/1,16/1,21/1,22/1,23/1,31/1,33/2,38/2,50/2,50/3,53/4,58/4,68/4,74/5,81/5,90/5,94/6,99/8,4/0,9/0,18/1,27/1,30/1,36/1,43/1,45/1,49/1,52/1,56/1,61/1,70/1,76/2,82/2,85/2,94/3,96/4,101/4,101/4,chased,2022
0/0,0/1,2/1,7/1,19/1,29/1,33/2,34/2,36/2,36/4,45/4,47/4,51/5,56/5,59/5,70/5,72/5,75/5,80/5,88/5,3/0,8/0,17/1,22/1,25/1,30/1,32/2,38/2,41/3,48/3,54/3,63/3,71/3,77/3,85/3,88/3,88/3,88/3,88/3,88/3,chased,2022
0/0,13/0,17/0,29/0,38/0,46/0,57/0,62/0,72/0,78/0,93/0,103/0,120/0,129/0,148/0,163/0,174/1,184/1,198/1,213/1,4/0,5/1,6/1,6/2,14/2,15/2,15/3,17/3,17/4,23/4,25/5,29/5,30/6,34/6,36/7,37/7,38/9,44/9,46/10,46/10,defend,2022
0/0,2/0,6/1,7/1,7/2,9/3,14/4,14/5,19/5,23/6,27/7,27/7,27/8,28/8,28/8,29/9,29/9,29/10,29/10,29/10,7/0,15/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,33/0,chased,2022
0/0,9/0,14/0,16/0,24/1,28/1,32/1,39/1,43/1,48/1,53/1,58/2,67/2,78/2,90/2,101/2,106/2,113/2,119/2,126/3,2/1,5/1,6/1,11/1,13/3,19/3,31/3,34/4,36/4,39/4,41/4,41/4,45/5,49/5,51/6,52/6,58/6,60/6,62/6,63/6,defend,2022
0/0,4/0,9/0,14/0,22/0,34/0,43/0,47/1,52/2,54/2,60/2,65/2,71/2,78/2,85/2,90/4,95/5,107/5,111/6,118/6,5/0,10/0,17/0,23/0,25/0,28/0,33/0,38/0,41/0,47/0,52/0,61/0,67/0,77/1,78/2,80/3,90/3,93/4,104/5,111/6,defend,2022
0/0,11/0,14/0,20/0,21/1,28/1,33/1,40/1,50/1,53/1,57/1,63/1,68/2,71/3,76/3,80/4,84/5,92/5,96/7,101/8,1/0,4/0,9/0,15/0,21/0,25/0,27/1,35/2,39/2,47/3,51/3,58/3,60/3,67/3,72/3,80/4,84/4,94/4,97/5,102/5,chased,2022
0/0,3/0,9/0,17/0,19/1,21/1,26/1,33/1,37/2,41/2,46/2,47/2,57/2,64/3,70/3,73/3,77/4,81/6,84/7,89/8,2/0,5/0,11/0,12/0,19/0,28/0,39/0,41/0,45/0,48/0,49/0,60/0,69/0,73/0,76/0,80/0,83/0,89/0,90/0,90/0,chased,2022
0/0,9/0,21/0,26/0,28/0,35/2,43/2,46/2,49/2,53/2,59/2,65/2,73/2,79/2,93/3,95/4,98/5,109/5,122/5,130/6,3/1,6/2,12/2,16/3,20/3,30/3,34/3,37/3,45/3,52/3,57/3,66/4,75/4,90/4,99/4,111/4,121/4,133/4,133/4,133/4,chased,2021
