1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
1/1,3/1,7/1,12/2,16/2,21/3,22/3,24/4,25/4,25/5,26/7,27/8,27/8,30/9,38/9,38/9,39/9,39/10,39/10,39/10,4/0,6/0,8/0,16/1,29/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,42/1,chased,2022
1/1,4/1,9/1,15/2,24/2,28/2,33/2,40/2,48/2,58/2,67/2,81/2,84/3,94/3,108/3,118/4,130/5,135/5,141/5,153/6,2/0,8/0,19/0,23/1,30/1,42/1,53/1,61/1,73/1,82/1,90/1,104/1,109/1,113/1,125/1,131/1,138/2,141/2,154/2,154/2,chased,2021
1/1,6/1,10/1,23/1,27/1,28/1,31/2,36/2,43/2,49/3,53/3,56/4,57/4,64/4,69/4,83/4,90/5,96/5,100/5,112/5,4/1,9/1,11/1,17/1,24/1,29/1,30/2,34/2,46/2,52/2,54/2,60/2,62/2,66/2,71/3,77/3,84/3,89/5,96/5,104/6,defend,2021
1/1,5/1,6/1,16/1,20/2,22/3,25/3,29/3,33/3,37/3,46/3,51/4,52/4,55/4,61/4,80/4,87/4,95/4,101/4,109/5,13/0,27/0,37/1,49/1,57/1,64/1,67/3,71/4,84/4,87/4,102/4,110/4,110/4,110/4,110/4,110/4,110/4,110/4,110/4,110/4,chased,2021
1/1,3/1,4/1,5/2,5/2,7/2,8/2,8/2,8/3,9/4,9/5,13/6,19/6,21/6,22/7,24/9,24/10,24/10,24/10,24/10,7/0,23/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,25/0,chased,2021
1/1,13/2,23/2,33/2,40/2,45/2,55/2,58/2,66/2,74/2,82/2,87/2,96/2,106/2,116/2,131/2,138/2,155/2,164/2,176/2,5/1,8/1,17/1,21/1,23/1,27/1,29/1,32/1,35/1,37/1,39/1,48/1,50/2,52/4,54/4,57/5,61/5,65/6,70/6,78/7,defend,2020
1/1,11/1,15/1,25/1,26/2,28/2,30/3,32/3,39/3,44/3,50/3,57/3,62/3,66/3,78/3,91/3,94/4,105/5,114/6,124/7,8/0,12/0,19/0,28/0,42/0,48/0,57/0,59/1,62/1,66/1,73/1,78/2,80/2,89/2,98/2,107/2,119/2,122/2,127/2,127/2,chased,2020
1/1,6/1,11/1,24/1,34/1,39/1,42/1,49/1,54/2,63/2,67/2,72/2,83/2,91/3,95/3,102/4,107/4,119/4,130/5,143/5,2/0,9/0,12/1,13/1,15/1,28/1,35/1,41/2,42/3,42/4,42/5,49/5,58/5,68/5,79/6,84/7,97/9,97/10,97/10,97/10,defend,2020
1/2,6/2,13/2,16/2,30/3,38/4,40/4,48/4,54/4,60/4,64/4,68/5,71/5,73/5,76/5,83/5,86/5,95/5,104/5,111/6,4/0,12/0,16/0,24/0,31/0,38/0,48/1,56/1,65/1,71/2,77/2,82/2,84/3,93/3,97/3,100/3,102/3,109/3,112/3,112/3,chased,2026
1/2,5/3,10/3,14/5,17/5,29/5,32/6,34/6,40/6,47/6,49/6,59/6,65/6,73/6,75/8,80/8,83/9,84/9,87/9,87/10,4/0,13/0,16/1,27/1,32/1,36/1,40/1,49/1,60/1,72/1,84/2,88/2,88/2,88/2,88/2,88/2,88/2,88/2,88/2,88/2,chased,2025
1/2,12/2,13/3,19/3,23/4,25/4,28/5,33/5,37/5,40/5,47/6,51/6,57/6,67/6,81/6,84/6,90/6,97/6,103/6,110/9,6/0,13/0,16/0,26/0,35/0,41/0,46/0,51/1,59/1,70/1,78/1,84/1,91/1,96/1,101/2,106/2,112/2,112/2,112/2,112/2,chased,2024
1/2,1/2,1/2,3/2,6/2,7/2,14/2,20/2,23/2,30/3,32/3,38/3,39/3,48/3,51/3,51/4,53/5,54/7,55/8,56/10,5/0,17/0,17/0,23/0,26/0,36/1,44/1,55/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,59/1,chased,2024
1/2,3/2,5/3,10/3,13/3,15/3,23/3,29/3,29/4,34/5,36/5,39/5,41/5,43/5,49/5,52/5,52/6,59/6,65/7,65/8,1/0,12/0,14/1,15/1,22/1,25/1,28/1,39/1,47/2,54/2,62/2,70/2,70/2,70/2,70/2,70/2,70/2,70/2,70/2,70/2,chased,2024
1/2,4/2,5/2,7/3,14/3,21/4,22/4,28/4,30/5,35/6,35/7,36/8,41/8,42/9,49/9,53/9,55/10,55/10,55/10,55/10,9/0,15/0,16/0,32/0,37/0,46/0,55/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,chased,2023
10/0,20/0,22/1,33/2,33/2,49/2,68/2,70/3,80/4,87/5,95/5,102/5,111/5,121/6,126/7,128/8,130/9,133/10,133/10,133/10,6/0,14/0,18/0,33/0,46/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,50/1,chased,2026
10/0,14/0,23/1,31/1,40/1,54/1,60/1,67/1,77/1,86/1,90/1,101/1,110/1,121/1,127/1,134/1,150/2,163/2,173/3,176/6,18/0,20/1,27/2,33/3,37/3,44/3,54/3,59/3,67/4,78/4,81/4,89/4,98/5,105/5,118/5,129/6,137/8,144/9,150/9,159/9,defend,2026
10/0,19/1,31/1,37/2,45/2,57/2,63/3,71/3,82/3,94/3,101/4,108/4,113/4,122/4,132/4,140/4,152/4,161/4,168/5,180/5,3/0,14/1,24/2,28/2,38/2,53/3,66/3,78/3,90/3,97/3,102/3,115/3,125/3,134/3,153/3,159/3,171/3,176/4,184/4,184/4,chased,2026
10/0,19/0,28/0,38/1,45/1,59/1,65/1,69/1,76/1,84/2,89/3,97/3,100/5,104/5,109/5,114/5,122/6,130/6,146/6,155/6,6/0,8/0,12/0,18/0,22/1,25/1,30/1,36/1,38/1,40/1,43/2,52/2,56/2,63/3,70/3,78/3,87/3,96/3,107/3,114/5,defend,2026
10/0,19/0,26/0,30/0,38/0,51/0,55/0,63/0,68/2,82/2,93/2,103/2,114/2,130/2,138/2,143/3,155/3,163/3,176/3,192/4,9/0,26/0,35/0,44/0,62/0,72/0,85/0,94/0,103/0,115/0,127/0,138/0,147/0,164/0,179/0,185/1,193/1,193/1,193/1,193/1,chased,2026
10/0,12/0,20/0,29/0,37/0,40/0,47/0,49/0,52/1,58/2,60/2,63/2,66/2,74/2,78/2,81/2,85/4,87/5,94/6,95/9,7/0,11/0,14/0,22/0,27/1,33/1,39/1,42/2,44/2,52/2,57/2,63/2,70/2,73/2,79/3,86/4,91/4,95/4,96/4,96/4,chased,2026
10/0,17/0,19/0,24/1,25/1,30/1,38/1,44/2,47/2,54/2,60/2,67/2,82/2,92/2,97/2,107/2,118/2,125/3,131/3,144/3,6/0,15/0,17/0,24/0,43/0,53/0,57/0,61/0,65/1,73/1,73/2,81/2,101/2,112/2,123/2,140/2,145/2,145/2,145/2,145/2,chased,2025
10/0,22/0,34/0,42/0,52/0,54/1,64/1,70/1,88/2,109/2,120/2,130/2,137/3,143/3,160/4,166/4,177/4,180/6,191/6,201/6,15/0,20/1,24/2,26/3,27/3,35/3,38/3,45/3,52/3,55/4,59/5,60/6,66/6,76/6,81/6,86/6,91/6,92/8,93/9,95/9,defend,2025
10/0,21/0,31/0,46/0,52/0,70/0,76/0,77/0,87/0,95/0,98/1,105/2,113/2,122/2,127/2,133/2,142/2,156/4,170/4,177/5,1/0,3/0,6/0,10/0,18/0,22/0,31/0,33/0,36/0,43/0,46/1,50/1,52/2,63/3,66/3,75/4,76/4,81/4,83/4,88/4,defend,2025
10/0,14/0,17/0,22/0,26/0,27/2,29/2,33/2,38/3,42/3,46/3,53/3,54/4,58/4,63/4,65/4,79/4,85/4,90/5,94/5,0/1,5/1,8/3,9/3,11/3,16/3,19/3,20/3,23/3,28/3,32/3,36/3,37/5,47/5,52/5,58/5,67/5,71/5,78/6,88/6,defend,2025
10/0,14/0,19/1,30/1,37/1,43/1,58/1,63/1,68/1,73/2,78/2,86/2,89/2,101/2,118/4,125/4,129/5,143/5,158/6,167/6,1/0,1/1,3/1,3/3,4/3,8/3,10/3,12/4,19/4,21/4,24/5,27/5,30/5,35/5,36/5,41/5,44/5,45/5,48/5,49/6,defend,2025
10/0,23/0,33/0,45/0,48/0,59/1,65/1,70/1,77/1,82/1,92/1,98/1,102/1,117/1,119/2,126/2,132/2,146/2,149/3,161/3,1/1,5/2,9/2,17/2,19/3,21/4,27/4,37/6,40/7,40/8,43/8,55/8,61/8,67/8,72/8,78/8,82/8,84/9,84/9,84/9,defend,2025
10/0,13/0,14/0,20/0,23/0,31/0,40/0,44/0,55/0,60/0,70/0,85/1,93/1,103/1,114/1,131/1,140/1,153/1,156/2,172/3,1/1,2/1,4/1,6/1,7/1,8/1,12/2,18/2,26/3,28/5,32/5,34/6,35/6,38/7,39/8,45/8,48/8,52/9,53/10,53/10,defend,2025
10/0,14/0,19/0,23/1,27/2,31/2,32/2,37/2,44/2,46/4,57/4,57/5,68/6,73/6,77/6,83/6,89/7,94/7,103/8,105/9,1/1,2/1,2/1,5/1,11/1,17/1,18/2,21/3,22/5,26/5,32/6,34/7,34/8,36/8,46/8,47/8,50/10,50/10,50/10,50/10,defend,2025
10/0,16/0,19/0,20/1,21/1,26/1,29/1,40/1,45/1,52/1,58/3,60/4,64/4,67/4,70/4,76/4,82/5,87/5,97/5,103/6,7/1,8/1,17/1,19/1,28/1,32/1,39/1,47/2,53/2,58/2,63/3,65/3,68/3,72/3,78/3,86/3,95/4,99/4,106/4,106/4,chased,2025
10/0,14/0,22/0,30/1,35/1,43/2,54/2,58/2,63/2,75/2,87/2,96/2,100/3,113/3,125/3,132/3,139/3,147/3,153/3,161/3,5/0,10/1,13/2,21/2,22/2,28/2,29/2,39/3,46/3,48/4,55/4,59/4,60/5,67/6,70/8,73/8,76/9,83/9,83/10,83/10,defend,2025
10/0,11/1,18/2,20/3,23/3,31/3,33/4,36/4,39/5,42/5,47/5,51/5,57/5,61/6,64/6,73/6,75/7,85/7,88/7,93/8,8/0,12/0,19/0,25/0,32/0,41/0,44/0,49/0,56/0,61/0,70/0,72/0,81/0,89/0,94/0,94/0,94/0,94/0,94/0,94/0,chased,2025
10/0,16/0,26/0,40/0,49/0,61/0,64/0,68/0,75/0,85/0,100/0,120/0,138/0,149/0,158/0,168/1,172/2,184/2,207/2,221/2,12/0,29/0,43/0,52/0,58/0,60/1,66/1,74/1,84/1,95/1,102/1,112/1,116/2,131/2,139/2,146/3,154/4,168/4,183/5,191/6,defend,2025
10/0,13/0,17/0,19/0,22/2,25/2,27/3,27/3,28/3,30/4,37/5,44/5,46/5,49/5,50/6,51/7,51/7,52/7,55/8,64/8,0/0,10/0,15/0,20/0,29/1,35/1,43/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,66/1,chased,2025
10/0,10/0,14/0,20/1,28/1,33/2,38/2,44/2,56/2,65/2,74/3,76/3,95/3,100/4,108/4,117/4,127/4,133/5,137/5,147/6,13/0,16/0,25/0,32/0,44/0,49/0,65/0,72/1,82/1,84/1,87/1,96/1,102/1,107/1,112/1,121/1,131/1,137/2,142/2,149/2,chased,2024
10/0,17/0,18/1,23/1,43/1,48/1,51/1,58/1,62/1,66/1,73/2,77/3,84/3,90/3,103/3,106/4,114/5,120/5,127/5,144/6,5/0,8/0,12/2,22/2,35/2,41/3,42/4,54/4,61/5,66/5,69/5,71/6,72/8,76/8,79/8,79/10,79/10,79/10,79/10,79/10,defend,2024
10/0,15/0,21/0,27/0,29/0,41/0,48/0,53/0,59/0,67/0,77/1,88/1,92/1,96/1,106/1,111/1,117/1,130/1,144/1,155/1,1/1,3/1,5/1,7/1,10/2,11/2,12/2,13/2,16/3,16/4,19/4,24/4,25/6,29/7,30/7,32/7,33/8,34/10,34/10,34/10,defend,2024
10/0,25/0,34/0,45/0,54/0,72/0,86/0,98/0,114/0,121/0,131/0,146/0,155/0,168/0,177/1,188/1,201/1,210/1,216/1,222/1,5/1,5/2,6/2,16/2,16/2,21/3,21/5,21/5,23/5,28/5,31/6,40/7,42/7,46/7,50/7,50/10,50/10,50/10,50/10,50/10,defend,2024
10/0,12/1,22/1,30/1,32/3,38/4,46/4,50/4,52/6,54/6,55/8,59/9,61/9,61/10,61/10,61/10,61/10,61/10,61/10,61/10,6/0,9/0,16/0,20/1,24/2,25/2,31/2,33/2,40/2,40/2,43/2,43/3,45/3,52/3,58/3,61/4,62/4,62/4,62/4,62/4,chased,2024
10/0,15/0,19/0,26/0,32/0,44/0,46/2,54/2,59/2,63/2,72/2,77/3,79/3,92/3,105/3,109/4,113/4,120/6,124/6,133/7,6/0,7/0,11/1,11/1,12/3,14/4,16/5,16/5,25/5,26/5,30/6,36/7,37/8,38/8,41/8,42/8,49/8,55/8,58/8,63/8,defend,2024
10/0,15/0,25/0,35/0,48/0,50/0,64/0,81/0,85/0,91/0,101/0,108/0,114/0,122/1,131/1,135/2,143/2,154/2,163/3,178/3,5/0,9/1,9/1,20/1,29/2,31/2,32/2,40/2,43/2,48/3,54/4,58/4,58/4,64/6,70/7,81/7,84/8,86/8,93/8,96/9,defend,2024
10/0,14/0,20/0,24/0,38/0,43/0,53/1,60/1,63/1,74/2,81/2,92/2,96/2,105/2,115/2,122/2,133/2,139/3,150/3,158/3,2/1,3/1,3/2,10/2,12/3,15/3,18/3,23/5,25/7,27/7,28/7,28/9,30/10,30/10,30/10,30/10,30/10,30/10,30/10,30/10,defend,2024
10/0,13/0,21/0,25/0,31/0,39/0,48/0,56/0,68/0,77/0,84/0,91/0,102/0,110/0,118/0,131/1,135/1,143/1,153/1,165/1,0/0,5/0,5/0,9/0,14/0,17/0,19/0,22/2,24/2,26/2,29/4,30/4,32/4,34/5,35/5,39/6,39/7,42/7,43/8,43/10,defend,2024
10/0,16/0,25/0,27/1,30/1,34/1,42/1,46/1,53/1,57/1,60/1,68/1,74/1,76/2,78/3,89/3,97/4,100/5,106/5,115/5,3/0,7/0,12/0,17/0,28/0,35/0,48/0,51/1,60/1,69/1,74/1,79/1,83/1,92/1,95/2,103/2,110/2,118/2,118/2,118/2,chased,2024
10/0,14/0,19/0,20/2,25/2,30/2,37/2,38/3,42/4,46/4,48/4,57/4,61/6,68/6,71/7,75/7,82/7,90/7,93/7,98/8,6/0,6/1,13/1,19/1,22/1,25/1,30/2,32/2,33/3,38/4,41/5,42/5,43/6,43/7,43/8,44/8,49/8,52/9,55/9,56/10,defend,2024
10/0,13/0,20/0,23/0,29/0,32/0,34/0,40/1,42/2,50/2,55/2,58/2,65/2,68/3,72/3,76/3,82/5,95/5,100/6,108/6,2/0,8/0,13/0,20/1,27/1,36/1,40/1,42/1,46/1,52/1,56/1,58/2,64/2,66/4,79/4,84/5,91/5,98/5,105/5,110/5,chased,2024
10/0,14/0,22/0,35/0,43/0,54/0,58/1,67/1,77/1,87/1,96/1,109/2,110/4,114/5,119/6,144/6,154/7,165/7,181/7,186/9,2/0,9/0,16/0,33/0,49/0,58/0,62/1,66/2,71/3,77/4,87/4,95/4,101/5,109/5,120/5,127/6,137/6,156/6,167/7,183/8,defend,2023
10/0,16/0,20/0,23/1,27/1,36/1,39/2,55/2,62/2,66/3,77/3,84/3,94/3,98/4,106/4,116/4,120/4,137/4,145/5,155/7,8/0,17/0,26/0,39/1,43/2,57/2,65/2,70/2,83/2,93/2,97/2,111/3,117/4,121/5,121/5,121/5,121/5,121/5,121/5,121/5,chased,2023
10/0,11/0,13/0,22/0,28/0,41/0,42/0,48/0,54/1,65/1,70/2,77/4,82/4,86/4,92/4,96/4,100/5,107/5,116/5,124/6,1/0,8/0,14/0,26/0,28/1,33/2,40/3,46/3,49/3,60/3,66/3,75/3,84/3,98/3,105/3,119/3,125/4,125/4,125/4,125/4,chased,2023
10/0,18/1,21/1,33/1,42/2,55/2,63/2,75/2,80/2,89/2,105/2,111/3,119/4,125/4,143/4,159/4,173/4,192/4,202/4,213/5,2/1,10/1,11/1,15/2,19/3,24/3,27/3,31/3,35/4,44/5,48/6,49/6,56/7,62/7,64/7,74/7,77/7,80/7,92/8,99/9,defend,2023
10/0,13/1,21/1,31/1,40/2,53/2,66/2,79/2,85/2,95/2,109/2,113/3,116/3,125/4,131/5,145/5,156/5,173/5,187/7,190/9,1/0,2/0,7/0,12/0,20/0,35/0,44/0,58/0,79/0,89/0,98/1,103/3,105/5,109/5,113/5,122/5,124/7,129/9,135/9,143/10,defend,2023
10/0,12/1,15/1,36/1,43/1,49/2,51/2,64/2,73/2,79/2,82/2,90/3,94/5,102/5,114/5,127/5,136/5,141/5,153/5,167/5,4/0,11/0,21/0,27/0,33/0,39/0,46/0,59/0,64/0,69/1,76/1,81/1,87/1,95/2,110/2,117/2,120/3,127/4,131/4,141/4,defend,2022
10/0,14/0,14/1,17/1,26/1,35/1,39/1,47/1,50/2,57/2,62/2,68/2,78/3,94/4,106/4,110/6,118/7,118/7,118/7,118/7,3/0,14/0,26/0,29/2,36/2,42/2,50/2,54/2,59/2,70/2,74/2,77/3,87/3,97/3,106/4,121/4,121/4,121/4,121/4,121/4,chased,2022
10/0,17/2,30/2,32/2,39/2,43/3,47/3,49/3,50/4,55/4,64/4,67/4,72/4,78/4,82/4,91/4,105/4,111/4,121/5,127/5,8/0,12/0,15/0,17/1,29/2,29/2,30/3,34/3,42/3,47/4,50/4,55/4,57/4,67/5,73/5,78/5,81/5,92/5,99/5,105/6,defend,2022
10/0,12/0,17/1,19/1,22/1,33/1,39/2,47/2,53/2,60/2,65/2,74/2,81/2,93/2,97/3,100/4,101/4,109/4,116/6,117/8,2/1,13/1,23/1,29/1,30/1,38/2,47/3,50/4,52/5,53/6,56/6,63/6,66/6,72/6,78/6,82/7,85/7,95/8,102/8,109/9,defend,2022
10/0,19/0,24/1,34/1,41/1,50/1,59/1,71/1,79/1,85/1,95/1,97/2,102/2,113/2,122/3,136/4,140/4,151/4,160/5,168/6,1/0,6/0,14/0,32/0,39/0,45/0,52/0,59/1,69/2,77/2,83/2,93/2,106/2,115/2,126/2,134/2,142/2,157/2,169/2,169/2,chased,2022
10/0,19/0,23/0,29/1,35/1,42/2,52/3,59/3,68/3,70/3,73/3,86/3,100/3,111/3,122/3,139/3,145/4,161/4,172/4,188/4,13/0,21/0,23/1,28/1,35/1,44/2,49/3,58/3,68/3,77/3,84/3,96/3,113/3,119/3,130/4,136/4,148/4,151/5,169/5,181/5,defend,2022
10/0,12/0,25/0,39/0,53/0,56/0,68/0,78/0,86/0,97/0,103/1,114/1,122/1,130/2,140/2,147/2,161/2,176/2,190/2,201/2,1/0,1/0,3/0,8/0,24/0,26/0,29/0,33/0,41/1,44/2,51/2,57/3,63/3,69/4,74/4,80/4,84/5,89/5,91/6,105/8,defend,2022
10/0,17/1,19/1,22/1,28/1,34/1,42/1,47/1,49/1,55/1,66/1,75/1,83/1,88/1,101/2,101/2,101/2,101/2,101/2,101/2,10/1,18/2,22/2,34/2,44/2,49/2,55/2,62/2,71/2,88/2,92/2,99/3,113/3,119/3,119/3,119/3,119/3,119/3,119/3,119/3,chased,2021
10/0,15/1,27/1,31/1,39/1,43/1,55/1,58/1,64/1,70/1,75/1,80/1,87/1,97/1,102/1,111/1,124/1,133/1,142/1,149/2,3/0,6/0,6/0,8/0,20/0,24/0,29/0,33/0,36/0,44/0,52/1,58/1,66/2,70/2,70/4,78/5,84/7,90/7,95/7,102/9,defend,2021
10/1,16/2,24/2,35/2,41/2,43/2,47/2,48/2,58/2,63/2,71/2,82/2,88/2,94/3,101/4,105/4,109/4,117/5,127/5,140/5,6/0,8/0,21/0,39/2,44/2,45/2,47/2,52/4,53/4,55/4,63/5,69/5,75/5,80/5,88/5,93/6,97/7,117/7,128/7,138/7,defend,2026
10/1,18/1,24/1,26/1,35/1,38/1,44/1,51/1,54/2,62/2,67/2,70/3,71/4,79/4,85/4,100/4,108/4,112/5,122/5,129/6,6/0,21/0,28/1,36/1,46/1,47/2,52/2,59/2,66/2,75/2,82/2,82/3,91/3,98/4,103/4,106/4,116/4,120/5,127/5,133/5,chased,2026
10/1,12/1,14/1,15/1,17/2,24/2,29/2,40/2,47/2,51/2,58/2,61/3,74/3,79/4,89/4,95/4,98/5,99/7,101/7,106/7,4/1,6/1,13/1,15/1,17/3,24/3,31/3,38/4,44/5,48/6,51/6,53/8,57/8,69/8,73/8,76/9,81/9,83/10,83/10,83/10,defend,2026
10/1,11/1,12/1,18/3,29/3,30/4,33/4,40/4,48/4,51/4,55/4,58/4,61/4,63/6,69/7,72/7,75/8,76/9,79/9,81/9,6/1,10/1,17/1,31/1,37/1,49/1,63/1,69/1,78/1,82/1,82/1,82/1,82/1,82/1,82/1,82/1,82/1,82/1,82/1,82/1,chased,2025
10/1,13/2,28/3,31/3,36/3,42/4,47/4,52/5,61/5,63/6,64/6,68/6,73/6,77/7,83/7,85/7,91/7,100/7,111/7,118/7,6/1,17/1,22/1,26/1,31/2,35/2,44/3,44/3,53/3,58/4,62/4,70/4,74/5,78/5,84/6,91/6,95/7,96/8,106/9,116/9,defend,2025
11/0,15/0,19/0,33/0,42/0,53/0,58/0,63/0,75/0,81/0,90/0,95/1,99/3,109/3,114/3,118/3,126/4,128/4,133/4,140/4,15/0,21/0,36/0,43/0,46/0,53/0,61/0,69/0,73/1,79/1,85/1,91/1,99/1,103/1,111/2,114/2,120/4,126/4,132/5,138/7,defend,2026
11/0,21/0,30/0,33/0,41/0,54/1,59/1,71/1,78/2,86/2,94/2,100/2,104/2,113/2,125/2,132/3,144/3,150/4,154/5,164/5,4/0,4/0,13/0,16/1,23/1,26/1,38/1,44/1,59/1,63/1,80/1,90/1,93/2,101/2,104/3,105/3,113/3,124/4,134/4,147/4,defend,2026
11/0,12/0,19/0,29/0,38/0,49/0,57/0,70/0,75/1,78/1,81/2,84/3,93/3,101/3,106/3,111/4,118/4,126/6,139/6,155/6,3/0,11/0,15/1,21/2,26/2,28/2,35/2,41/3,45/3,51/3,68/3,74/3,77/4,86/4,94/4,103/5,108/5,119/6,119/8,132/8,defend,2026
11/0,16/0,19/1,34/1,42/1,53/1,61/1,76/1,81/1,90/1,104/1,113/1,120/1,125/1,133/1,145/1,150/2,160/2,170/2,174/2,1/0,3/1,8/1,10/2,12/2,12/2,17/2,19/3,19/3,21/3,21/4,21/7,24/7,27/7,27/8,27/8,28/8,29/8,29/9,30/9,defend,2026
11/0,13/1,28/1,36/1,40/1,56/1,69/1,81/1,89/1,101/1,113/1,125/1,133/2,142/2,152/3,162/3,167/3,182/3,193/3,200/5,3/1,3/2,8/4,9/5,12/5,12/5,12/5,12/5,13/6,13/6,17/7,18/7,22/7,23/7,26/9,26/10,26/10,26/10,26/10,26/10,defend,2026
11/0,15/1,23/1,35/1,47/1,58/2,65/2,80/2,93/2,110/2,117/3,124/3,124/3,124/3,124/3,124/3,124/3,124/3,124/3,124/3,9/0,19/1,33/2,40/2,48/2,59/2,63/3,71/4,75/5,80/6,80/6,80/6,80/6,80/6,80/6,80/6,80/6,80/6,80/6,80/6,defend,2026
11/0,21/0,38/0,40/1,43/1,47/1,57/1,71/1,78/1,90/1,102/2,111/2,116/3,122/4,140/4,157/4,167/5,178/6,183/6,198/7,4/1,12/2,26/2,48/2,50/3,62/3,69/3,84/3,89/3,96/3,103/4,112/5,120/6,137/6,139/8,141/10,141/10,141/10,141/10,141/10,defend,2025
11/0,17/1,19/1,25/1,31/2,35/3,38/3,52/3,61/3,64/3,80/3,98/3,113/3,123/3,126/4,138/4,151/4,160/4,168/4,181/4,2/1,4/2,16/2,19/3,26/3,32/3,47/3,48/3,60/3,76/3,82/3,89/4,96/4,109/4,110/6,114/6,127/6,139/6,148/6,157/7,defend,2025
11/0,18/0,28/0,29/1,33/2,41/2,53/2,62/3,72/3,85/3,92/3,93/3,98/3,106/4,107/4,119/4,131/4,132/7,136/7,140/9,5/0,21/0,21/0,23/0,30/0,31/1,36/2,41/2,46/2,53/2,60/2,66/2,72/3,82/3,88/3,98/3,103/5,106/7,114/7,125/8,defend,2025
11/0,20/0,21/0,26/1,28/1,33/2,45/2,51/2,55/2,62/2,71/2,76/2,79/2,89/2,91/2,97/2,110/2,113/3,134/4,139/4,4/1,14/1,23/1,37/1,43/1,49/3,53/3,58/3,62/3,67/3,69/4,72/4,78/4,83/4,90/4,102/4,112/4,124/4,128/4,140/5,chased,2025
11/0,21/0,23/0,27/0,37/0,40/0,45/1,50/2,55/2,67/2,72/2,73/2,75/2,88/2,115/2,126/2,138/2,148/3,158/3,165/3,2/0,4/1,5/2,6/4,15/4,15/4,20/4,26/4,35/4,36/6,41/6,49/6,50/6,50/6,64/6,68/6,71/6,71/7,76/9,77/9,defend,2025
11/0,28/0,39/2,47/2,48/3,60/3,65/4,72/4,81/4,87/4,95/4,103/4,119/4,132/4,143/4,162/4,168/4,188/4,209/4,227/4,0/0,1/1,2/1,2/2,3/2,4/3,10/4,10/5,10/6,10/7,10/8,11/8,12/9,13/10,13/10,13/10,13/10,13/10,13/10,13/10,defend,2024
11/0,14/2,25/2,30/2,40/2,43/2,48/2,48/3,55/3,58/3,58/3,58/3,58/3,58/3,58/3,58/3,58/3,58/3,58/3,58/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2024
11/0,14/1,26/1,29/1,38/1,43/2,51/2,54/2,61/2,68/4,70/5,76/5,86/5,88/5,97/5,103/6,105/6,114/6,117/8,119/10,2/1,14/1,19/1,30/1,43/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,47/1,chased,2024
11/0,25/0,30/0,42/1,51/1,57/1,61/1,63/2,67/2,70/3,77/4,87/5,98/5,100/7,102/7,108/7,112/7,117/7,123/7,128/8,3/1,6/2,9/2,16/2,18/2,22/2,26/2,30/3,41/3,45/3,48/3,50/3,53/4,57/6,62/6,66/7,70/7,74/8,81/9,84/9,defend,2024
11/0,16/0,21/0,22/0,25/1,27/1,35/2,36/3,37/3,40/4,44/4,51/6,53/6,56/6,58/6,63/7,70/7,75/8,83/9,87/9,4/0,5/2,5/3,8/3,11/3,14/3,24/3,26/3,33/3,40/3,46/3,48/4,52/4,60/4,70/4,71/5,75/6,78/6,85/7,88/7,chased,2024
11/0,18/0,19/0,26/0,28/1,32/3,33/4,37/4,47/4,56/4,57/5,69/5,72/5,75/5,87/5,95/6,100/7,108/7,111/9,118/10,8/0,19/1,33/1,38/1,43/1,49/1,55/1,66/2,69/2,81/2,88/2,103/2,115/2,119/2,119/2,119/2,119/2,119/2,119/2,119/2,chased,2023
11/0,12/0,19/0,28/0,38/1,48/1,53/1,56/2,58/2,63/2,66/2,68/3,71/4,73/4,82/4,86/4,97/4,109/4,115/5,120/6,3/1,5/1,10/1,16/1,21/1,28/1,31/2,34/2,40/3,45/3,52/3,58/3,61/4,62/5,71/5,76/6,85/6,89/6,95/7,100/7,defend,2023
11/0,20/0,29/0,41/0,54/1,70/1,86/1,109/1,123/1,137/1,150/1,157/1,167/1,175/2,183/2,188/2,202/2,216/2,227/3,234/3,7/1,9/1,18/2,20/2,28/2,34/2,37/3,39/5,46/6,47/7,47/7,47/7,47/7,47/7,51/8,52/10,52/10,52/10,52/10,52/10,defend,2022
