1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year,match_number
10/0,20/0,32/1,35/1,41/1,50/1,55/2,56/3,65/3,74/3,78/3,81/3,93/3,116/3,127/4,130/4,145/4,149/5,166/5,171/6,2/1,7/1,11/3,17/4,20/4,23/4,32/4,40/4,46/4,52/4,55/4,71/4,86/5,95/5,107/5,116/6,124/7,135/7,155/7,168/7,defend,2022,1299172
2/0,16/0,25/1,30/1,37/1,42/1,52/1,62/1,65/1,76/1,85/1,96/1,100/2,105/2,108/2,110/3,120/3,132/3,153/3,161/4,8/0,14/0,29/0,35/1,45/1,48/1,60/1,67/2,79/2,85/2,88/3,94/3,100/3,104/3,114/3,127/3,132/4,150/4,162/4,162/4,chased,2022,1299173
7/0,14/0,17/1,25/1,41/1,46/1,53/1,65/1,69/2,79/2,81/3,84/4,86/4,97/4,104/4,109/5,129/5,133/5,140/6,143/7,9/1,13/1,18/1,34/1,47/1,58/1,60/1,66/2,72/2,77/2,81/2,87/2,93/2,105/2,116/2,125/2,133/2,139/2,142/4,147/4,chased,2022,1299174
5/0,12/0,16/1,22/2,30/2,36/2,45/2,51/2,53/3,57/3,65/3,73/3,77/3,81/3,92/3,95/3,107/4,125/4,143/4,158/5,3/0,16/0,21/0,27/0,38/0,42/0,46/1,57/1,62/1,66/1,72/1,72/2,75/3,77/4,86/4,96/5,100/6,107/6,113/6,119/6,defend,2022,1299175
8/0,11/1,19/1,27/1,40/1,47/1,49/1,59/2,64/2,73/2,77/2,82/2,95/2,105/3,107/3,112/4,120/5,136/5,145/6,160/6,2/0,10/0,13/1,18/1,22/1,27/1,32/1,39/2,44/2,45/3,49/4,54/5,63/5,67/7,76/7,83/8,93/8,98/8,102/9,108/10,defend,2022,1299176
13/1,15/2,24/2,28/3,35/3,41/4,44/4,51/4,60/4,65/5,70/6,78/6,83/6,87/6,98/6,109/6,117/6,131/6,144/6,152/8,12/0,19/0,29/0,34/0,41/0,51/0,60/0,67/0,73/0,84/0,87/1,90/1,99/2,107/2,116/2,130/2,138/2,145/3,155/3,155/3,chased,2022,1299177
11/0,14/0,22/0,31/1,46/1,53/1,57/1,66/2,70/2,87/2,98/2,108/2,115/2,119/2,129/2,137/3,145/3,156/3,169/3,176/4,18/0,19/1,22/2,31/2,44/2,46/3,51/3,62/3,71/4,77/4,82/4,90/4,93/6,104/7,108/8,118/8,123/10,123/10,123/10,123/10,defend,2022,1299178
1/0,11/0,36/0,45/0,47/1,52/1,62/1,72/1,79/1,86/1,88/2,91/2,95/2,111/2,123/3,129/3,131/5,136/6,144/7,157/7,5/1,7/2,16/2,21/3,23/3,33/3,42/3,48/3,57/3,65/3,78/3,88/3,91/4,100/4,111/4,128/4,135/5,139/6,153/7,158/7,chased,2022,1299179
6/0,16/0,24/1,29/1,38/2,41/2,50/2,57/2,67/2,68/3,73/4,82/4,86/4,91/4,102/4,118/4,123/4,128/5,136/6,147/6,2/1,4/2,9/2,20/2,33/2,42/2,44/3,51/3,59/3,64/3,71/3,76/4,80/4,84/5,90/5,104/5,115/5,121/6,129/6,138/7,defend,2022,1299180
7/0,11/0,20/0,32/0,39/0,55/0,61/0,74/0,77/0,84/0,87/1,95/1,103/1,105/2,113/2,137/3,147/3,164/3,171/3,189/3,14/0,28/0,40/0,52/0,60/0,69/0,79/0,86/1,92/1,108/1,128/1,141/1,149/1,160/1,161/2,166/2,176/2,182/2,193/2,193/2,chased,2022,1299181
1/1,6/1,14/1,18/1,27/3,28/3,35/4,37/4,44/4,50/4,58/4,65/4,71/4,85/4,88/5,96/6,105/6,111/6,118/7,130/7,0/1,7/1,15/1,24/1,40/2,43/2,47/2,52/2,54/3,59/3,65/3,76/3,80/3,85/4,99/4,108/4,111/4,118/4,120/4,126/5,defend,2022,1299182
1/1,2/1,6/1,17/1,23/1,27/1,32/1,39/2,48/2,58/2,60/3,64/3,74/3,83/3,93/3,103/3,116/4,127/4,136/4,143/5,12/0,34/0,41/0,54/0,63/0,73/1,80/1,88/1,99/1,107/1,115/2,117/2,129/2,133/2,137/2,142/3,147/3,147/3,147/3,147/3,chased,2022,1299183
5/0,9/1,10/1,18/2,22/2,29/2,34/2,45/2,59/2,63/2,66/2,69/2,81/3,90/4,99/4,107/4,112/4,120/5,131/5,137/6,6/1,13/1,24/1,25/1,36/1,43/1,51/1,58/2,66/2,72/2,74/3,93/3,109/3,115/3,124/3,130/3,142/3,142/3,142/3,142/3,chased,2022,1299184
3/1,14/2,21/2,25/2,28/3,33/3,36/3,39/4,45/4,52/4,53/6,57/6,64/6,73/6,86/6,96/6,113/6,127/6,134/6,145/6,7/1,12/1,17/1,25/1,26/2,29/2,31/2,43/2,53/2,66/2,89/2,93/2,110/2,115/3,127/3,135/3,143/3,149/3,149/3,149/3,chased,2022,1299185
1/0,20/0,27/0,38/0,51/0,62/0,66/1,79/1,83/2,86/3,88/4,100/4,108/4,113/5,125/5,130/5,134/6,137/7,147/7,149/9,8/0,13/0,13/1,14/2,29/2,33/2,42/2,44/3,47/4,50/5,54/6,63/6,70/6,80/6,88/8,97/8,97/9,102/10,102/10,102/10,defend,2022,1299186
7/0,16/0,23/0,28/0,48/0,55/0,69/0,76/0,84/0,89/1,101/1,107/1,114/1,120/2,131/3,140/3,147/4,160/4,176/4,181/4,9/0,13/0,25/0,31/1,36/1,41/1,42/3,45/3,52/3,63/3,72/3,78/4,85/4,94/4,103/4,116/4,124/4,133/4,153/4,156/5,defend,2022,1299187
5/0,8/0,19/0,29/0,46/0,48/0,57/0,64/0,68/1,70/1,78/1,90/1,100/2,106/2,117/2,135/2,148/2,152/3,164/3,188/3,3/0,16/0,32/0,38/1,45/2,47/2,51/3,59/4,63/4,76/4,83/5,87/6,91/7,98/7,108/7,120/8,120/10,120/10,120/10,120/10,defend,2022,1299188
3/0,21/0,28/0,37/1,47/1,63/1,73/1,76/2,84/2,87/3,94/4,96/4,100/5,108/5,113/5,126/5,143/5,147/6,157/6,169/6,12/0,25/0,39/0,44/0,46/1,54/2,58/3,60/3,63/4,68/4,70/5,78/5,91/5,94/6,96/6,101/6,109/6,114/6,120/8,137/9,defend,2022,1299189
7/0,21/0,24/1,36/1,41/1,43/2,49/2,52/3,58/3,61/3,75/3,83/3,86/4,95/4,97/6,106/7,111/7,120/8,122/10,122/10,5/1,18/1,20/1,25/2,33/2,43/2,57/2,66/2,73/2,75/2,89/2,98/2,104/2,113/3,118/3,127/4,127/4,127/4,127/4,127/4,chased,2022,1299190
11/0,21/0,30/0,39/0,58/0,77/0,94/0,99/0,105/1,107/2,111/2,114/2,131/2,154/2,157/3,161/3,178/3,187/3,195/4,208/5,10/0,21/0,22/1,39/1,49/1,65/1,72/1,76/1,82/3,96/3,98/4,112/4,115/4,123/5,134/5,144/5,162/5,173/6,176/7,185/7,defend,2022,1299191
1/2,1/3,5/3,11/3,17/3,21/3,26/4,33/4,42/4,50/4,53/5,55/5,63/5,69/5,77/5,82/6,93/6,100/7,110/8,129/8,10/0,18/0,34/0,35/0,40/0,44/0,52/0,58/0,71/0,79/0,85/0,94/0,110/0,113/0,120/0,127/1,132/1,132/1,132/1,132/1,chased,2022,1299192
6/0,17/0,24/1,35/1,41/2,45/2,49/2,55/2,58/2,70/2,84/2,91/2,102/2,110/3,115/3,126/3,145/3,147/4,161/4,166/6,6/1,11/2,19/2,22/2,25/2,31/2,40/2,51/2,53/3,60/3,65/3,82/3,93/3,97/3,101/5,120/5,135/5,136/7,145/7,156/8,defend,2022,1299193
6/0,11/0,21/0,35/0,41/1,43/1,53/1,56/2,64/3,70/3,77/3,88/3,90/4,94/4,107/4,115/4,120/4,135/4,143/5,156/6,3/0,4/0,7/0,13/1,21/1,23/3,27/3,35/3,38/4,42/4,59/4,68/4,80/5,88/5,91/5,99/5,113/6,116/6,136/6,139/9,defend,2022,1299194
6/0,15/0,18/1,21/1,27/1,30/1,40/2,44/2,53/2,59/2,72/2,80/2,84/2,91/3,98/3,109/4,113/4,131/4,135/5,138/6,5/0,8/1,9/2,13/2,15/2,22/2,33/2,42/2,50/2,52/2,56/3,60/3,68/3,73/3,84/3,103/3,116/3,124/4,142/4,142/4,chased,2022,1299195
2/0,4/0,7/0,14/1,22/1,26/1,30/2,37/2,44/2,45/3,52/3,57/4,62/4,67/4,79/4,87/4,90/4,97/4,108/4,114/4,8/0,19/0,29/0,32/0,42/0,45/0,55/0,57/0,69/0,75/0,76/1,84/2,86/2,92/2,98/2,107/2,111/4,112/4,116/4,116/4,chased,2022,1299196
3/0,11/1,12/1,23/2,33/2,45/2,50/2,55/2,60/3,65/3,68/5,73/5,83/5,89/5,97/5,107/5,110/6,113/6,118/7,122/7,6/0,12/0,17/0,27/0,33/0,37/1,55/1,66/1,69/1,74/1,82/1,85/1,89/1,94/2,101/3,116/3,120/4,124/4,124/4,124/4,chased,2022,1299197
9/0,15/0,26/0,35/0,36/1,40/1,45/1,56/1,68/1,73/1,77/2,81/2,87/2,101/2,107/3,111/4,117/5,125/5,139/5,154/6,8/2,13/2,24/2,27/2,39/2,44/2,53/2,54/4,61/4,63/5,63/7,63/7,66/7,74/8,75/10,75/10,75/10,75/10,75/10,75/10,defend,2022,1299198
11/0,18/0,25/0,29/0,42/0,48/0,57/0,64/0,73/0,78/0,87/0,90/1,95/1,112/1,126/2,132/3,141/3,150/3,167/3,172/4,3/0,11/1,15/1,22/1,33/1,38/2,44/2,50/2,59/2,71/2,73/3,79/4,81/5,88/5,90/5,103/5,110/5,121/5,135/5,143/6,defend,2022,1299199
5/0,6/0,13/0,15/1,23/1,27/1,31/1,38/1,44/1,49/1,50/2,56/2,67/2,74/3,78/4,96/4,99/4,112/4,124/4,139/6,2/2,11/2,18/2,30/2,34/3,36/4,45/4,54/4,58/4,65/4,78/4,85/5,91/6,95/7,107/7,115/7,122/8,129/9,135/9,140/9,chased,2022,1299200
7/0,17/0,17/1,25/1,33/1,41/1,48/1,51/2,62/2,66/3,71/3,79/3,84/3,97/4,104/5,109/5,112/6,123/6,124/8,135/8,5/0,15/1,17/2,29/2,34/3,38/4,42/4,52/4,58/4,61/5,72/5,77/6,79/6,90/6,92/6,102/6,107/7,110/7,115/8,119/9,defend,2022,1299201
10/0,13/0,22/1,24/3,32/3,36/3,43/3,52/3,61/3,64/3,75/3,83/4,87/4,101/4,107/4,115/4,121/5,133/6,135/8,143/9,9/0,21/0,26/0,38/1,43/1,45/2,51/2,61/2,66/2,74/2,80/2,87/2,93/3,101/3,107/3,111/3,117/3,131/3,133/4,144/4,chased,2022,1299202
10/1,16/1,23/1,33/1,43/1,49/1,56/1,62/1,69/2,77/2,81/2,85/2,93/2,104/2,109/4,118/4,121/6,130/6,139/7,150/7,13/0,20/0,31/0,43/0,53/0,65/0,73/0,87/0,92/0,101/1,108/2,111/3,113/3,116/3,127/4,133/5,143/5,151/5,151/5,151/5,chased,2022,1299203
